"nest1","nest2","weight","site_comb","site_same_other","site_same_semi_other","dyad_ID","spatial","spatial_z","spatial_weight","prospect_weight","spatial_weight_z","prospect_weight_z","year","nest1_anthro","nest2_anthro","anthro","anthro_binary"
"Z19","Z02",0.571428571428571,"ZZ","same","same","Z02_Z19",77.8758659671134,-0.528996488552942,0.797144550602781,0,0.52889352086563,NA,"2024",0,1,1,0
"Z20","Z02",0.5,"ZZ","same","same","Z02_Z20",80.0926744318471,-0.501280300996517,0.791123722795604,0,0.501182728187613,NA,"2024",1,1,2,1
"Z21","Z02",0.714285714285714,"ZZ","same","same","Z02_Z21",78.8076322257009,-0.517346854047932,0.79461388352498,0,0.517246153929402,NA,"2024",1,1,2,1
"Z22","Z02",0.444444444444444,"ZZ","same","same","Z02_Z22",95.500268749764,-0.308643101751624,0.749276863318661,0,0.308583025234899,NA,"2024",1,1,2,1
"Z23","Z02",0.555555555555556,"ZZ","same","same","Z02_Z23",86.8702221015729,-0.416542361127053,0.77271597664905,0,0.4164612823212,NA,"2024",1,1,2,1
"Z24","Z02",0.571428571428571,"ZZ","same","same","Z02_Z24",83.3157664336269,-0.460982808518443,0.782369839788515,0,0.460893079503769,NA,"2024",0,1,1,0
"Z26","Z02",0.625,"ZZ","same","same","Z02_Z26",97.1307689264346,-0.288257376315117,0.744848442478756,0,0.288201267822845,NA,"2024",1,1,2,1
"Z27","Z02",0.5,"ZZ","same","same","Z02_Z27",138.792132764365,0.232623968355855,0.631696629017758,0,-0.23257868875088,NA,"2024",0,1,1,0
"Z28","Z02",0.5,"ZZ","same","same","Z02_Z28",140.128835844607,0.249336424063518,0.628066157913243,0,-0.249287891425771,NA,"2024",1,1,2,1
"Z29","Z02",0.555555555555556,"ZZ","same","same","Z02_Z29",142.087762463994,0.273828381062035,0.622745734408076,0,-0.273775081133343,NA,"2024",1,1,2,1
"Z30","Z02",0.5,"ZZ","same","same","Z02_Z30",146.709768862787,0.331616141382295,0.610192415033166,0,-0.331551593227643,NA,"2024",1,1,2,1
"Z31","Z02",0.5,"ZZ","same","same","Z02_Z31",151.739390465597,0.394500210032786,0.596532017174027,0,-0.394423421670008,NA,"2024",1,1,2,1
"Z32","Z02",0.571428571428571,"ZZ","same","same","Z02_Z32",161.028088640698,0.510634420485217,0.571304013422319,0,-0.510535026923111,NA,"2024",1,1,2,1
"Z33","Z02",0.444444444444444,"ZZ","same","same","Z02_Z33",171.649164598194,0.643427008555904,0.542457286028255,0,-0.643301767287845,NA,"2024",1,1,2,1
"Z35","Z02",0.625,"ZZ","same","same","Z02_Z35",95.3591663332013,-0.310407269068887,0.749660095955497,0,0.310346849161926,NA,"2024",1,1,2,1
"Z38","Z02",0.5,"ZZ","same","same","Z02_Z38",69.8479374898578,-0.629367618898612,0.81894831749506,0,0.629245114251437,NA,"2024",0,1,1,0
"Z39","Z02",0.555555555555556,"ZZ","same","same","Z02_Z39",74.7821403194458,-0.567676546691918,0.80554707599168,0,0.567566050039447,NA,"2024",1,1,2,1
"Z40","Z02",0.428571428571428,"ZZ","same","same","Z02_Z40",81.6870433184047,-0.48134631581153,0.786793434148752,0,0.481252623097103,NA,"2024",0,1,1,0
"Z41","Z02",0.5,"ZZ","same","same","Z02_Z41",135.315069607794,0.189151139680681,0.641140294933615,0,-0.189114321940249,NA,"2024",1,1,2,1
"Z42","Z02",0.857142857142857,"ZZ","same","same","Z02_Z42",205.965021973032,1.07246937026248,0.449255788652006,0,-1.07226061709841,NA,"2024",1,1,2,1
"Z43","Z02",0.714285714285714,"ZZ","same","same","Z02_Z43",249.720510293329,1.61953301613048,0.330416355752656,0,-1.61921777855744,NA,"2024",1,1,2,1
"Z44","Z02",0.571428571428571,"ZZ","same","same","Z02_Z44",225.437161168878,1.31592453143794,0.396369669259797,0,-1.3156683904075,NA,"2024",0,1,1,0
