"from","to","trial","spatial_weight","prospect_weight"
"Y14","Y10",1,0.480761338020212,0
"Y14","Y11",1,0.553047130714142,0
"Y14","Y12",1,0.71933887118305,0
"Y14","Y16",1,0.875827339790049,0
"Y14","Y17",1,0.875747680573506,0
"Y14","Y18",1,0.875084255245112,0
"Y14","Y19",1,0.654614917677214,0
"Y14","Y21",1,0.640599189977019,0
"Y14","Y22",1,0.6183394377054,0
"Y14","Y23",1,0.573062868851202,0
"Y14","Y26",1,0.499141497059225,0
"Y14","Y27",1,0.440830578224671,0
"Y14","Y28",1,0.42047434320693,0
"Y14","Y29",1,0.397833428353059,0
"Y14","Y30",1,0.429316188515162,0
"Y14","Y31",1,0.319119073445312,0
"Y14","Y33",1,0.279248832885665,0
"Y14","Y35",1,0.484503800832303,0
"Y16","Y01",1,0.526348725713639,0
"Y16","Y02",1,0.567105839806364,0
"Y16","Y03",1,0.614025849537444,0
"Y16","Y04",1,0.607983016164132,0
"Y16","Y05",1,0.599776461403107,0
"Y16","Y06",1,0.589274131993965,0
"Y16","Y07",1,0.573459300638003,0
"Y16","Y08",1,0.549680476622714,0
"Y16","Y09",1,0.535334487415234,0
"Y16","Y10",1,0.543809299432601,0
"Y16","Y11",1,0.660943195983738,0
"Y16","Y12",1,0.820580949517889,0
"Y16","Y14",1,0.875827339790049,0
"Y16","Y17",1,0.992379749540205,0
"Y16","Y18",1,0.944841677262451,0
"Y16","Y19",1,0.779412861177014,0
"Y16","Y21",1,0.772564531841717,0
"Y16","Y22",1,0.751045584497475,0
"Y16","Y23",1,0.685347592734129,0
"Y16","Y26",1,0.588342882820913,0
"Y16","Y27",1,0.520803034986007,0
"Y16","Y28",1,0.497351804274296,0
"Y16","Y29",1,0.470774865523217,0
"Y16","Y30",1,0.495340246123145,0
"Y16","Y31",1,0.38583331030724,0
"Y16","Y33",1,0.375839554471047,0
"Y16","Y35",1,0.590349431059918,0
"Y17","Y01",1,0.516061962155937,0
"Y17","Y02",1,0.55591382685877,0
"Y17","Y03",1,0.601023884137311,0
"Y17","Y04",1,0.594429034021392,0
"Y17","Y05",1,0.585634673762289,0
"Y17","Y06",1,0.574895388353961,0
"Y17","Y07",1,0.558710021681055,0
"Y17","Y08",1,0.534602380790087,0
"Y17","Y09",1,0.519858454905854,0
"Y17","Y10",1,0.528314371647075,0
"Y17","Y11",1,0.649275876532105,0
"Y17","Y12",1,0.806982517121205,0
"Y17","Y14",1,0.875747680573506,0
"Y17","Y16",1,0.992379749540205,0
"Y17","Y18",1,0.960787093189913,0
"Y17","Y19",1,0.771257225417393,0
"Y17","Y21",1,0.768818540785069,0
"Y17","Y22",1,0.748771681450819,0
"Y17","Y23",1,0.694372888469083,0
"Y17","Y26",1,0.600858292321829,0
"Y17","Y27",1,0.534167485503845,0
"Y17","Y28",1,0.510964887496406,0
"Y17","Y29",1,0.484687084471939,0
"Y17","Y30",1,0.509814551239996,0
"Y17","Y31",1,0.400124221143435,0
"Y17","Y33",1,0.387055825453613,0
"Y17","Y35",1,0.600424809112066,0
"Y18","Y01",1,0.476914184094634,0
"Y18","Y02",1,0.51484910275153,0
"Y18","Y03",1,0.556552244981643,0
"Y18","Y04",1,0.549060881629745,0
"Y18","Y05",1,0.539385960286606,0
"Y18","Y06",1,0.528322608835542,0
"Y18","Y07",1,0.511668240603899,0
"Y18","Y08",1,0.487199186261089,0
"Y18","Y09",1,0.472117790828847,0
"Y18","Y10",1,0.480561198632401,0
"Y18","Y11",1,0.607082188370319,0
"Y18","Y12",1,0.761160672191462,0
"Y18","Y14",1,0.875084255245112,0
